model,horizon_days,num_obs,total_loglik,avg_loglik
garch_n_gspc_5y,5,303,-698.8968520255576,-2.306590270711411
garch_n_gspc_1y,5,303,-708.9648909517764,-2.3398181219530576
gjr_gspc_1y,5,303,-668.4754627736091,-2.206189646117522
garch_t_gspc_5y,5,303,-669.8812939796621,-2.210829353068192
garch_t_gspc_1y,5,303,-675.7005321858763,-2.230034759689361
gjr_gspc_5y,5,303,-668.3060293545099,-2.205630459915874
garch_n_gspc_5y,10,303,-776.2699063289907,-2.5619468855742267
garch_n_gspc_1y,10,303,-785.8984199449482,-2.5937241582341524
gjr_gspc_1y,10,303,-756.2864317708868,-2.495994824326359
garch_t_gspc_5y,10,303,-760.2451619575236,-2.509059940453873
garch_t_gspc_1y,10,303,-772.7980924523872,-2.5504887539682746
gjr_gspc_5y,10,303,-747.6415432022302,-2.4674638389512547
garch_n_gspc_5y,21,303,-983.7795110445385,-3.2467970661535923
garch_n_gspc_1y,21,303,-1000.6472236899946,-3.3024660847854608
gjr_gspc_1y,21,303,-914.9438138959222,-3.019616547511294
garch_t_gspc_5y,21,303,-882.712970362916,-2.913244126610284
garch_t_gspc_1y,21,303,-903.9819204883419,-2.9834386814796763
gjr_gspc_5y,21,303,-865.9871399098696,-2.8580433660391735
garch_n_gspc_5y,42,303,-1059.939903756449,-3.4981514975460364
garch_n_gspc_1y,42,303,-1097.172606580909,-3.6210317048874883
gjr_gspc_1y,42,303,-982.1387061886335,-3.2413818686093516
garch_t_gspc_5y,42,303,-996.0212388742035,-3.287198808165688
garch_t_gspc_1y,42,303,-1037.8143394244914,-3.42512983308413
gjr_gspc_5y,42,303,-954.2376423627013,-3.1492991497118856
